technical_know_how,personal_traits,social_characteristics,motivating_factors
Sharp (intelligent),Impatient,Anti-establishment,Monetary Gain
Focussed,Determined,Lack Social skills,"Greed (easy, quick money)"
Well-trained,Insensitive,Inferiority complex,Political beliefs
Strategic planners,Secretive,Low self-worth,Emotions
Bully,Aggressive,Marginalised,Disregard for law
Resourceful,Strong-willed,Radical,Intolerance
Goal oriented,Passionate,Mass-destruction,Thrill-seeking
Well-networked,Insensitive,Misguided,Risk tolerance
Well-organized,Chaotic state of mind,Brain-washed,Manipulate others
Well trained,Inhuman Psyche,Anti-social,Need to Control others
Creative,Vengeful,Anti-state,"Concealed
existence"
Smart,Coercive,Unlawful,Political support
Skilful,Coward,Rebellious,"Religious
fundamentalism"
Opportunists,Selfish,Reinforcement available,Experimentation
,Immoral/ Unethical,Intolerance to diversity of opinion,No fear of punishment
,Risk-taker,Need to outsmart others,Curiosity
,Loner,Rationalization,Revenge
,Incited,Social dissatisfaction,Anger
,Gullible,Broken homes/families,Lust
,Conviction in Violence,Socially inept,Plain boredom
,Emotional,"Insufficient social
support","Enhancing self-
worth"
,Control freak,,
,"Psychologically
Deviant",,
,Psychiatric conditions,,
,Identity crisis,,
